N_dist,reconstr_success,original_pattern,distorted_pattern
3,True,"[[0;0], [1;1], [2;3], [3;0], [4;1], [5;6], [6;1], [7;4], [8;4]]","[[4;2], [7;7], [3;6], [5;6], [8;4], [0;0], [6;1], [2;3], [1;1]]"
3,True,"[[0;0], [1;5], [2;8], [3;7], [4;3], [5;4], [6;4], [7;2], [8;4]]","[[6;2], [2;2], [4;0], [0;0], [1;5], [7;2], [3;7], [5;4], [8;4]]"
3,True,"[[0;1], [1;0], [2;4], [3;1], [4;7], [5;7], [6;6], [7;2], [8;6]]","[[5;6], [1;2], [4;4], [2;4], [7;2], [0;1], [3;1], [6;6], [8;6]]"
