N_dist,reconstr_success,others_silent,original_pattern,distorted_pattern
3,True,True,"[[0;0], [1;3], [2;3], [3;3], [4;6], [5;4], [6;6], [7;2], [8;5]]","[[4;2], [3;0], [1;4], [7;2], [0;0], [2;3], [6;6], [8;5], [5;4]]"
3,True,False,"[[0;5], [1;2], [2;4], [3;2], [4;5], [5;0], [6;6], [7;7], [8;6]]","[[7;1], [3;6], [2;2], [6;6], [8;6], [1;2], [5;0], [0;5], [4;5]]"
